Sembol,AlimTarihi,Lot,AlisFiyati,SonFiyat,Anapara,Bakiye,KarZararPct,GunSayisi,ArtanPara
PETKM,2025-08-20 12:25:00.408471,514,19.43,19.43,9987.02,9987.02,0.0,0,12.979999999999563
FROTO,2025-08-20 12:25:00.408471,87,114.0,114.0,9918.0,9918.0,0.0,0,82.0
SKBNK,2025-08-20 12:25:00.408471,1377,7.26,7.26,9997.02,9997.02,0.0,0,2.9799999999995634
GSRAY,2025-08-20 12:25:00.408471,6622,1.51,1.51,9999.22,9999.22,0.0,0,0.7800000000006548
AVHOL,2025-08-20 12:25:00.408471,182,54.7,54.7,9955.4,9955.4,0.0,0,44.600000000000364
ATATP,2025-08-20 12:25:00.408471,80,124.4,124.4,9952.0,9952.0,0.0,0,48.0
LINK,2025-08-20 12:25:00.408471,13,724.5,724.5,9418.5,9418.5,0.0,0,581.5
MEGMT,2025-08-20 12:25:00.408471,288,34.62,34.62,9970.56,9970.56,0.0,0,29.44000000000051
CEMZY,2025-08-20 12:25:00.408471,415,24.04,24.04,9976.6,9976.6,0.0,0,23.399999999999636
GSDHO,2025-08-20 12:25:00.408471,1926,5.19,5.19,9995.94,9995.94,0.0,0,4.059999999999491
GUNDG,2025-08-20 12:25:00.408471,114,87.05,87.05,9923.699999999999,9923.699999999999,0.0,0,76.30000000000109
IHYAY,2025-08-20 12:25:00.408471,3448,2.9,2.9,9999.199999999999,9999.199999999999,0.0,0,0.8000000000010914
NETAS,2025-08-20 12:25:00.408471,145,68.55,68.55,9939.75,9939.75,0.0,0,60.25
