Sembol,AlimTarihi,Lot,AlisFiyati,SonFiyat,Anapara,Bakiye,KarZararPct,GunSayisi,ArtanPara,HisseKarPct,PortfoyKarPct
ASELS,2025-08-21 02:28:26.776219,55,181.5,181.5,9982.5,10000.0,0.0,0,17.5,0.0,0.0
PETKM,2025-08-21 02:28:26.776219,507,19.72,19.78,9998.04,10030.420000000002,0.0,0,1.9600000000009457,0.30425963488844965,0.3042000000000007
OYAKC,2025-08-21 02:28:26.776219,390,25.58,25.7,9976.2,10046.800000000001,0.0,0,23.80000000000109,0.469116497263491,0.46799999999999264
ZOREN,2025-08-21 02:28:26.776219,2500,4.0,4.01,10000.0,10025.0,0.0,0,0.0,0.24999999999999467,0.25
GEDIK,2025-08-21 02:28:26.776219,1282,7.8,7.94,9999.6,10179.48,0.0,0,0.3999999999996362,1.794871794871802,1.7947999999999957
BRSAN,2025-08-21 02:28:26.776219,25,394.0,393.75,9850.0,9993.75,0.0,0,150.0,-0.06345177664974619,-0.0625
MAVI,2025-08-21 02:28:26.776219,238,41.94,42.44,9981.72,10119.0,0.0,0,18.28000000000065,1.1921793037672868,1.1900000000000002
ETILR,2025-08-21 02:28:26.776219,948,10.54,6.29,9991.92,5971.0,0.0,0,8.079999999999927,-40.32258064516128,-40.29
BJKAS,2025-08-21 02:28:26.776219,4464,2.24,2.23,9999.36,9955.359999999999,0.0,0,0.6399999999994179,-0.4464285714285817,-0.4464000000000124
KARSN,2025-08-21 02:28:26.776219,927,10.78,10.78,9993.06,10000.0,0.0,0,6.940000000000509,0.0,0.0
TKFEN,2025-08-21 02:28:26.776219,96,103.8,104.0,9964.8,10019.2,0.0,0,35.20000000000073,0.19267822736031104,0.19200000000000728
AKSA,2025-08-21 02:28:26.776219,969,10.31,10.26,9990.39,9951.55,0.0,0,9.609999999998765,-0.48496605237634055,-0.4844999999999892
MEGMT,2025-08-21 02:28:26.776219,289,34.5,33.92,9970.5,9832.380000000001,0.0,0,29.5,-1.6811594202898499,-1.67619999999999
BURCE,2025-08-21 02:28:26.776219,558,17.92,17.65,9999.36,9849.339999999998,0.0,0,0.6399999999994179,-1.5066964285714457,-1.5066000000000168
BORSK,2025-08-21 02:28:26.776219,391,25.56,25.56,9993.96,10000.0,0.0,0,6.040000000000873,0.0,0.0
ALBRK,2025-08-21 02:28:26.776219,1173,8.52,8.66,9993.96,10164.220000000001,0.0,0,6.040000000000873,1.6431924882629174,1.6422000000000117
LIDFA,2025-08-21 02:28:26.776219,2347,4.26,4.3,9998.22,10093.880000000001,0.0,0,1.7800000000006548,0.9389671361502356,0.9388000000000101
BVSAN,2025-08-21 02:28:26.776219,93,107.0,108.3,9951.0,10120.9,0.0,0,49.0,1.2149532710280349,1.2089999999999963
DAGI,2025-08-21 02:28:26.776219,1612,6.2,6.43,9994.4,10370.76,0.0,0,5.600000000000364,3.7096774193548314,3.707600000000002
DGNMO,2025-08-21 02:28:26.776219,1275,7.84,7.87,9996.0,10038.25,0.0,0,4.0,0.382653061224493,0.3825
ALCTL,2025-08-20 23:30:33.956649,87,114.1,116.2,9926.7,10182.7,0.0,0,73.30000000000109,1.8404907975460194,1.8269999999999886
DOFER,2025-08-20 23:30:33.956649,200,50.0,48.96,10000.0,9792.0,0.0,0,0.0,-2.0799999999999983,-2.08
EGPRO,2025-08-20 23:30:33.956649,416,24.0,23.68,9984.0,9866.88,0.0,0,16.0,-1.3333333333333344,-1.3312000000000082
ZEDUR,2025-08-20 23:30:33.956649,985,10.15,10.15,9997.75,10000.0,0.0,0,2.25,0.0,0.0
PRKAB,2025-08-20 23:30:33.956649,268,37.26,37.06,9985.68,9946.4,0.0,0,14.319999999999707,-0.5367686527106702,-0.5360000000000037
DOKTA,2025-08-20 23:30:33.956649,383,26.08,27.1,9988.64,10390.660000000002,0.0,0,11.360000000000582,3.9110429447852884,3.906600000000017
YATAS,2025-08-20 23:30:33.956649,306,32.6,32.56,9975.6,9987.76,0.0,0,24.39999999999964,-0.12269938650306486,-0.12239999999999782
PAGYO,2025-08-20 23:30:33.956649,127,78.15,81.5,9925.05,10425.449999999999,0.0,0,74.94999999999891,4.286628278950729,4.254500000000008
BRISA,2025-08-20 23:30:33.956649,126,79.25,79.9,9985.5,10081.900000000001,0.0,0,14.5,0.8201892744479568,0.8190000000000145
RNPOL,2025-08-20 23:30:33.956649,250,39.96,40.68,9990.0,10180.0,0.0,0,10.0,1.801801801801799,1.7999999999999998
